name_of_city,population_total,effective_literacy_rate_total,total_graduates,sample_mean
Jaunpur ,0.013473471498496568,0.8310728744939272,0.011197418259206884,0.013520226179899533
Jehanabad ,0.0082106371089287,0.8062753036437247,0.0040074070172168574,0.007803191352756172
Jetpur Navagadh ,0.009500380936826513,0.8487854251012146,0.0039826449246489525,0.008926593288084615
Jhansi ,0.04065353645369492,0.8482793522267207,0.03545796589764612,0.0410431744611695
Jhunjhunun ,0.009533718418646166,0.7530364372469637,0.004683637254253114,0.009064087343889866
Jind ,0.013320968546807147,0.8464574898785425,0.009683328853645678,0.013151588562684894
Jodhpur ,0.08285630415387428,0.825506072874494,0.06344588379735244,0.08227218724214089
Junagadh ,0.025664251328711016,0.8970647773279352,0.01661761521238897,0.025015819932147902
Kadapa ,0.027393072230863343,0.8034412955465586,0.018907883664987798,0.02688200025327801
Kaithal ,0.011590625019283249,0.8174089068825912,0.00814672845484092,0.01140044854345917
Kakinada ,0.025023546599989566,0.8221659919028341,0.0215308645977263,0.02521963049818005
Kalol ,0.008985573284880723,0.897672064777328,0.006396723840087307,0.00885256648395756
Kalyani ,0.0080635034151285,0.8982793522267207,0.007859488181053217,0.008274386172305843
Kamarhati ,0.026972827628309836,0.892914979757085,0.02267622393395815,0.027101512901811033
Kancheepuram ,0.013163897719003014,0.8942307692307692,0.008385344983222557,0.01281279498561418
Kanchrapara ,0.009791362659151415,0.9190283400809717,0.0062166358941389025,0.00952879167990847
Kanpur ,0.22174482129066223,0.8516194331983806,0.20692600231322966,0.22594684292727638
Kanpur City,0.00865772800092832,0.806174089068826,0.005688527992645208,0.008455320042150709
Karaikkudi ,0.008558196384534068,0.923582995951417,0.005302689568450753,0.008309152868531693
Karawal Nagar ,0.018004323775226195,0.8559716599190283,0.006518283203602479,0.016751635491912845
Karimnagar ,0.02090797035881148,0.8780364372469636,0.023426740448698122,0.021918756416801244
Karnal ,0.022997573335848603,0.8736842105263157,0.023821583270189996,0.02380600122445433
Kasganj ,0.008113269223325626,0.7951417004048583,0.0059906255219736556,0.008026489474799708
Kashipur ,0.009745603759826844,0.8441295546558705,0.009020605212555552,0.009924396769530964
Katihar ,0.018109785616751826,0.8084008097165992,0.010921883701905825,0.01752835779714146
Khammam ,0.014765619471717915,0.826923076923077,0.013236464027207687,0.014966394000256124
Khandwa ,0.016082209589061845,0.8803643724696357,0.01099932151866364,0.015769233691906328
Khanna ,0.01026810467680794,0.8545546558704454,0.007548836474292221,0.010152115478750208
Kharagpur ,0.016582432092711537,0.8769230769230769,0.011201920457855594,0.016237807529704266
Khardaha ,0.00890575566013944,0.9665991902834008,0.009689631931753873,0.009295452179740489
Khargone ,0.008530869266023249,0.8396761133603239,0.005665566779536787,0.00834113332741046
Khora ,0.015178972191010628,0.8704453441295547,0.004719204623577924,0.014003170952373065
Khurja ,0.008902469994863944,0.6845141700404858,0.0047403649572268615,0.008520860691362134
Kirari Suleman Nagar ,0.02264688867132264,0.8018218623481781,0.004781785184794995,0.020537784729753896
Kishanganj ,0.008580875488752727,0.7561740890688259,0.0035328752796428137,0.008052548741668691
Kishangarh ,0.012422940130290251,0.8112348178137653,0.005877170116026161,0.0117746817431419
Kochi ,0.04820904396196097,0.9867408906882591,0.05212330441571141,0.0502380153932338
Kolar ,0.011103384900380632,0.8504048582995951,0.005181130204935581,0.010513688419263484
Kolhapur ,0.04401853852486611,0.9323886639676114,0.04161967496827076,0.04494238793612643
Kolkata ,0.35955427786807126,0.8819838056680163,0.36849415412016456,0.37149192726276653
Kollam ,0.02797086849028569,0.9321862348178137,0.017793139279567178,0.02721438247343747
Korba ,0.02910698743200977,0.8530364372469637,0.017435214486994723,0.028150890133719145
Kota ,0.080247566063309,0.8466599190283401,0.05792168605538515,0.07913366768013441
Kozhikode ,0.03462746606208288,0.979757085020243,0.027564711226727573,0.03455093964093438
Krishnanagar ,0.012197271022587988,0.9202429149797571,0.009601388838239154,0.012157484425773513
Kulti ,0.02516154454156034,0.7751012145748988,0.00872120900241633,0.023347575200588014
Kumbakonam ,0.01122840045720433,0.9281376518218624,0.007591607361454967,0.010998369075723805
Kurichi ,0.010081382723346903,0.9151821862348178,0.0059248934217024886,0.009736805059852957
Kurnool ,0.03405231436251643,0.7909919028340082,0.02727837139266961,0.0340025396479894
Lakhimpur ,0.012181804354339926,0.8541497975708502,0.011690859231105511,0.012468491955050917
Lalitpur ,0.010661663266270233,0.8497975708502024,0.007659590561050489,0.010513194052948571
Latur ,0.03067320797211384,0.8747975708502025,0.019069062376611618,0.029773696578912556
Loni ,0.041054467755482715,0.7615384615384615,0.007010823735771364,0.0369684637453606
